Make,Model Family,Priorities,Regions,Visual Family Count,China catalog?,Generations / Platforms,Body Styles,Production Years
BAIC,X55 Plus,P0,Southern Africa/China export,1,Yes,Current,Crossover,2022–present
BYD,Atto 3 / Yuan Plus,P0,Southern Africa/China export,1,Yes,Current,Crossover,2022–present
BYD,Dolphin,P0,Southern Africa/China export,1,Yes,Current,Hatchback,2021–present
BYD,Seal,P0,Southern Africa/China export,1,Yes,Current,Sedan,2022–present
BYD,Sealion 6 / Song Plus DM-i,P0,Southern Africa/China export,1,Yes,Current,SUV,2023–present
BYD,Shark 6 DMO,P0,Southern Africa/China export,1,Yes,Current,Pickup,2024–present
Chery,Tiggo 4 Pro / Tiggo Cross,P0,Southern Africa,1,Yes,Current regional family,Crossover,2021–present
Ford,Ranger,P0,Southern Africa,2,No,P703; T6,Single/Double Cab,2011–2022; 2022–present
Geely,EX5 / Galaxy E5,P0,Southern Africa/China export,1,Yes,Current,Crossover,2024–present
GWM,P-Series / P300,P0,Southern Africa/China export,1,Yes,Current export family,Pickup,2020–present
GWM,P500,P0,Southern Africa/China export,1,Yes,Current,Pickup,2024–present
Haval,H6,P0,Southern Africa/China export,1,Yes,3rd generation,SUV,2021–present
Haval,H6 GT,P0,Southern Africa/China export,1,Yes,Current,Coupe SUV,2022–present
Haval,Jolion,P0,Southern Africa,1,Yes,B01,Crossover,2021–present
Hyundai,Grand i10,P0,Southern Africa,1,No,Current regional generation,Hatchback,2020–present
Isuzu,D-Max,P0,Southern Africa,2,No,2nd generation; 3rd generation,Single/Extended/Double Cab,2012–2020; 2020–present
JAC,T9,P0,Southern Africa/China export,1,Yes,Current,Pickup,2022–present
JAECOO,J7,P0,Southern Africa/China export,1,Yes,Current,SUV,2023–present
Jetour,Dashing,P0,Southern Africa/China export,1,Yes,Current,SUV,2022–present
Jetour,X70 Plus,P0,Southern Africa/China export,1,Yes,Current,SUV,2020–present
Kia,Sonet,P0,Southern Africa,1,No,QY,Crossover,2020–present
Mahindra,Scorpio Pik Up,P0,Southern Africa,1,No,Current regional family,Single/Double Cab,2007–present
Nissan,Magnite,P0,Southern Africa,1,No,HBN,Crossover,2020–present
OMODA,C5,P0,Southern Africa/China export,1,Yes,Current,Crossover,2022–present
Renault,Kwid,P0,Southern Africa,1,No,Current regional generation,Hatchback,2016–present
Suzuki,Fronx,P0,Southern Africa,1,No,Current,Crossover,2023–present
Suzuki,Swift,P0,Southern Africa,2,No,Current generation; Previous regional generation,Hatchback,2018–2024; 2024–present
Tank,300,P0,Southern Africa/China export,1,Yes,Current,SUV,2020–present
Tank,500,P0,Southern Africa/China export,1,Yes,Current,SUV,2021–present
Toyota,Corolla Cross,P0,Southern Africa,1,No,XG10,Crossover,2020–present
Toyota,Fortuner,P0,Southern Africa,1,No,AN160,SUV,2015–present
Toyota,HiAce / Quantum,P0,Southern Africa,1,No,H200/H300,Van/Minibus,2005–present
Toyota,Hilux,P0,Southern Africa,3,No,AN120/AN130,Double Cab; Single Cab,2015–present; 2020–present
Toyota,Starlet,P0,Southern Africa,1,No,Baleno-derived regional generation,Hatchback,2020–present
Toyota,Starlet Cross,P0,Southern Africa,1,No,Regional current generation,Crossover,2024–present
Toyota,Urban Cruiser,P0,Southern Africa,1,No,Regional current generation,Crossover,2023–present
Toyota,Vitz,P0,Southern Africa,1,No,Celerio-derived regional generation,Hatchback,2023–present
Volkswagen,Polo,P0,Southern Africa,1,No,AW / Mk6,Hatchback,2018–present
Volkswagen,Polo Vivo,P0,Southern Africa,1,No,Vivo family,Hatchback,2010–present
Volkswagen,T-Cross,P0,Southern Africa,1,No,C1,Crossover,2019–present
Aion,Y,P1,Southern Africa/China export,1,Yes,Current,Crossover/MPV,2021–present
BAIC,B30,P1,Southern Africa/China export,1,Yes,Current,SUV,2024–present
BAIC,B40 Plus,P1,Southern Africa/China export,1,Yes,Current regional family,SUV,2019–present
Bestune,T77,P1,Southern Africa/China export,1,Yes,Current,SUV,2018–present
BMW,3 Series,P1,Southern Africa,1,No,E46/E90/F30/G20,Sedan/Touring,1998–present
BMW,X3,P1,Southern Africa,1,No,E83/F25/G01,SUV,2003–present
BMW,X5,P1,Southern Africa,1,No,E53/E70/F15/G05,SUV,1999–present
BYD,Sealion 7,P1,Southern Africa/China export,1,Yes,Current,SUV,2024–present
Changan,CS35 Plus,P1,Southern Africa/China export,1,Yes,Current,Crossover,2018–present
Changan,CS55 Plus,P1,Southern Africa/China export,1,Yes,Current,SUV,2019–present
Changan,UNI-T,P1,Southern Africa/China export,1,Yes,Current,Crossover,2020–present
Chevrolet,Cruze,P1,Southern Africa,1,No,J300/J400,Sedan/Hatch,2008–present
Chevrolet,Spark,P1,Southern Africa,1,No,M300/M400,Hatchback,2009–present
Deepal,S05,P1,Southern Africa/China export,1,Yes,Current,SUV,2024–present
Deepal,S07,P1,Southern Africa/China export,1,Yes,Current,SUV,2023–present
