Priority,Selected?,Region,Make,Model Family,Generation / Platform,Production Years,Body Style,Facelift / Visual Phase,Proposed VISUAL_FAMILY_ID,Variants that share this visual,China catalog?,Confidence,Hero Source Status,Candidate Hero URL,Hero License,Attribution Status,Notes
P0,Review,Southern Africa,Toyota,Hilux,AN120/AN130,2015–present,Single Cab,Pre-facelift / facelift split,VF-TOYOTA-HILUX-AN120-AN130-SINGLE-CAB-PRE-FACELIFT-FACELIFT-SPLIT,Engine/transmission/drivetrain/trim variants share within same visible body phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Split cab types and major fascia changes.
P0,Review,Southern Africa,Toyota,Hilux,AN120/AN130,2015–present,Double Cab,Pre-facelift,VF-TOYOTA-HILUX-AN120-AN130-DOUBLE-CAB-PRE-FACELIFT,"2.4/2.8, MT/AT, 2WD/4WD share.",No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Exact parts routed by FITMENT_ID.
P0,Review,Southern Africa,Toyota,Hilux,AN120/AN130,2020–present,Double Cab,Facelift,VF-TOYOTA-HILUX-AN120-AN130-DOUBLE-CAB-FACELIFT,Externally similar facelift variants share.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,GR Sport only separate if body kit materially changes recognition.
P0,Review,Southern Africa,Toyota,Fortuner,AN160,2015–present,SUV,Pre-facelift / facelift split,VF-TOYOTA-FORTUNER-AN160-SUV-PRE-FACELIFT-FACELIFT-SPLIT,All engines/drivetrains share per visible phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Toyota,Corolla Cross,XG10,2020–present,Crossover,Pre-facelift / facelift split,VF-TOYOTA-COROLLA-CROSS-XG10-CROSSOVER-PRE-FACELIFT-FACELIFT-SPLIT,ICE/hybrid share where body is visually same.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Toyota,Starlet,Baleno-derived regional generation,2020–present,Hatchback,Generation/facelift split,VF-TOYOTA-STARLET-BALENO-DERIVED-REGIONAL-GENERATION-HATCHBACK-GENERATION-F,Powertrains share within visible shell.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve exact regional phase from provider.
P0,Review,Southern Africa,Toyota,Vitz,Celerio-derived regional generation,2023–present,Hatchback,Current,VF-TOYOTA-VITZ-CELERIO-DERIVED-REGIONAL-GENERATION-HATCHBACK-CURRENT,Powertrains share.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Toyota,Urban Cruiser,Regional current generation,2023–present,Crossover,Current,VF-TOYOTA-URBAN-CRUISER-REGIONAL-CURRENT-GENERATION-CROSSOVER-CURRENT,Powertrains share.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Provider-resolve India/SA visual phase.
P0,Review,Southern Africa,Toyota,Starlet Cross,Regional current generation,2024–present,Crossover,Current,VF-TOYOTA-STARLET-CROSS-REGIONAL-CURRENT-GENERATION-CROSSOVER-CURRENT,Powertrains share.,No,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
P0,Review,Southern Africa,Volkswagen,Polo Vivo,Vivo family,2010–present,Hatchback,Major facelift split,VF-VOLKSWAGEN-POLO-VIVO-VIVO-FAMILY-HATCHBACK-MAJOR-FACELIFT-SPLIT,Engines/transmissions/trims share per visible phase.,No,High,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,
